2016-02-25 22:58:16 [INFO] Processing column "order_shared_stat.order_id"
2016-02-25 22:58:16 [INFO] Processing column "order_shared_stat.shared_stat_id"
2016-02-25 22:58:16 [INFO] Processing table "orders"
2016-02-25 22:58:16 [INFO] Processing column "orders.id"
2016-02-25 22:58:16 [INFO] Processing column "orders.created_at"
2016-02-25 22:58:16 [INFO] Processing column "orders.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "orders.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "orders.mandante"
2016-02-25 22:58:16 [INFO] Processing column "orders.partner_id"
2016-02-25 22:58:16 [INFO] Processing column "orders.address_id"
2016-02-25 22:58:16 [INFO] Processing column "orders.currency_id"
2016-02-25 22:58:16 [INFO] Processing column "orders.type_id"
2016-02-25 22:58:16 [INFO] Processing column "orders.payment_id"
2016-02-25 22:58:16 [INFO] Processing column "orders.posted_at"
2016-02-25 22:58:16 [INFO] Processing column "orders.valor_total"
2016-02-25 22:58:16 [INFO] Processing column "orders.desconto_total"
2016-02-25 22:58:16 [INFO] Processing column "orders.troco"
2016-02-25 22:58:16 [INFO] Processing column "orders.descricao"
2016-02-25 22:58:16 [INFO] Processing column "orders.referencia"
2016-02-25 22:58:16 [INFO] Processing column "orders.obsevacao"
2016-02-25 22:58:16 [INFO] Processing column "orders.old_id"
2016-02-25 22:58:16 [INFO] Processing table "partner_groups"
2016-02-25 22:58:16 [INFO] Processing column "partner_groups.id"
2016-02-25 22:58:16 [INFO] Processing column "partner_groups.created_at"
2016-02-25 22:58:16 [INFO] Processing column "partner_groups.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "partner_groups.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "partner_groups.mandante"
2016-02-25 22:58:16 [INFO] Processing column "partner_groups.grupo"
2016-02-25 22:58:16 [INFO] Processing table "partner_partner_group"
2016-02-25 22:58:16 [INFO] Processing column "partner_partner_group.id"
2016-02-25 22:58:16 [INFO] Processing column "partner_partner_group.created_at"
2016-02-25 22:58:16 [INFO] Processing column "partner_partner_group.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "partner_partner_group.partner_id"
2016-02-25 22:58:16 [INFO] Processing column "partner_partner_group.partner_group_id"
2016-02-25 22:58:16 [INFO] Processing table "partner_shared_stat"
2016-02-25 22:58:16 [INFO] Processing column "partner_shared_stat.id"
2016-02-25 22:58:16 [INFO] Processing column "partner_shared_stat.created_at"
2016-02-25 22:58:16 [INFO] Processing column "partner_shared_stat.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "partner_shared_stat.partner_id"
2016-02-25 22:58:16 [INFO] Processing column "partner_shared_stat.shared_stat_id"
2016-02-25 22:58:16 [INFO] Processing table "partners"
2016-02-25 22:58:16 [INFO] Processing column "partners.id"
2016-02-25 22:58:16 [INFO] Processing column "partners.created_at"
2016-02-25 22:58:16 [INFO] Processing column "partners.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "partners.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "partners.mandante"
2016-02-25 22:58:16 [INFO] Processing column "partners.user_id"
2016-02-25 22:58:16 [INFO] Processing column "partners.nome"
2016-02-25 22:58:16 [INFO] Processing column "partners.data_nascimento"
2016-02-25 22:58:16 [INFO] Processing column "partners.observacao"
2016-02-25 22:58:16 [INFO] Processing column "partners.old_id"
2016-02-25 22:58:16 [INFO] Processing table "product_groups"
2016-02-25 22:58:16 [INFO] Processing column "product_groups.id"
2016-02-25 22:58:16 [INFO] Processing column "product_groups.created_at"
2016-02-25 22:58:16 [INFO] Processing column "product_groups.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "product_groups.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "product_groups.mandante"
2016-02-25 22:58:16 [INFO] Processing column "product_groups.grupo"
2016-02-25 22:58:16 [INFO] Processing table "product_product_group"
2016-02-25 22:58:16 [INFO] Processing column "product_product_group.id"
2016-02-25 22:58:16 [INFO] Processing column "product_product_group.created_at"
2016-02-25 22:58:16 [INFO] Processing column "product_product_group.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "product_product_group.product_id"
2016-02-25 22:58:16 [INFO] Processing column "product_product_group.product_group_id"
2016-02-25 22:58:16 [INFO] Processing table "product_shared_stat"
2016-02-25 22:58:16 [INFO] Processing column "product_shared_stat.id"
2016-02-25 22:58:16 [INFO] Processing column "product_shared_stat.created_at"
2016-02-25 22:58:16 [INFO] Processing column "product_shared_stat.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "product_shared_stat.product_id"
2016-02-25 22:58:16 [INFO] Processing column "product_shared_stat.shared_stat_id"
2016-02-25 22:58:16 [INFO] Processing table "products"
2016-02-25 22:58:16 [INFO] Processing column "products.id"
2016-02-25 22:58:16 [INFO] Processing column "products.created_at"
2016-02-25 22:58:16 [INFO] Processing column "products.updated_at"
2016-02-25 22:58:16 [INFO] Processing column "products.deleted_at"
2016-02-25 22:58:16 [INFO] Processing column "products.mandante"
2016-02-25 22:58:16 [INFO] Processing column "products.uom_id"
2016-02-25 22:58:16 [INFO] Processing column "products.cost_id"
2016-02-25 22:58:16 [INFO] Processing column "products.nome"
2016-02-25 22:58:16 [INFO] Processing column "products.imagem"
2016-02-25 22:58:16 [INFO] Processing column "products.cod_fiscal"
2016-02-25 22:58:16 [INFO] Processing column "products.cod_barra"
2016-02-25 22:58:16 [INFO] Processing column "products.promocao"
2016-02-25 22:58:16 [INFO] Processing column "products.estoque"
2016-02-25 22:58:16 [INFO] Processing column "products.valorUnitVenda"
2016-02-25 22:58:16 [INFO] Processing column "products.valorUnitVendaPromocao"
2016-02-25 22:58:16 [INFO] Processing column "products.valorUnitCompra"
